coleta,colonia,ambiente,cidade,emergencia,tratamento,id_vespa,teste,invisibility time,Explored areas,exploration_rate,total_distance,total time frozen,n_braco,atividade_t,
coleta_3,rur.pent.08,rural,pentecoste,antes_manejo,rico,rur.pent.08.rosa-branco,3,00:00:19,46,0.12,1153.60,00:03:50,2,0:01:10,
coleta_3,rur.pent.08,rural,pentecoste,antes_manejo,rico,rur.pent.08.rosa-branco,4,00:00:22,95,0.24,3698.97,00:02:08,6,0:02:52,
coleta_3,rur.pent.08,rural,pentecoste,antes_manejo,pobre,rur.pent.08.roxo-branco,1,00:00:03,41,0.10,1394.10,00:03:35,4,0:01:25,
coleta_3,rur.pent.08,rural,pentecoste,antes_manejo,pobre,rur.pent.08.roxo-branco,2,00:00:34,74,0.19,2855.31,00:01:36,4,0:03:24,
coleta_3,rur.pent.08,rural,pentecoste,antes_manejo,rico,rur.pent.08.roxo-branco,3,00:00:00,1,0,15.66,00:04:59,0,0:00:01,
coleta_3,rur.pent.08,rural,pentecoste,antes_manejo,rico,rur.pent.08.roxo-branco,4,00:00:00,3,0.01,64.87,00:04:54,1,0:00:06,
coleta_3,rur.pent.08,rural,pentecoste,antes_manejo,pobre,rur.pent.08.verde-roxo,1,00:00:03,108,0.26,4682.95,00:00:21,7,0:04:39,
coleta_3,rur.pent.08,rural,pentecoste,antes_manejo,pobre,rur.pent.08.verde-roxo,2,00:00:16,99,0.29,5827.71,00:00:13,8,0:04:47,
coleta_3,rur.pent.08,rural,pentecoste,antes_manejo,rico,rur.pent.08.verde-roxo,3,00:00:58,111,0.26,5948.83,00:00:13,7,0:04:47,
coleta_3,rur.pent.08,rural,pentecoste,antes_manejo,rico,rur.pent.08.verde-roxo,4,00:00:02,23,0.05,592.98,00:00:39,2,0:04:21,
coleta_3,rur.pent.08,rural,pentecoste,antes_manejo,pobre,rur.pent.08.vermelho-verde,1,00:00:26,110,0.26,8252.87,00:00:04,7,0:04:56,
coleta_3,rur.pent.08,rural,pentecoste,antes_manejo,pobre,rur.pent.08.vermelho-verde,2,00:00:07,126,0.32,10767.98,00:00:07,7,0:04:53,
